SessionId	ItemId	Time	title	songname
147206	152475	1587545926	그대여 아무 걱정하지 말아요 이또한 지나가리	걱정말아요 그대
147206	205179	1587545934	그대여 아무 걱정하지 말아요 이또한 지나가리	꿀맛
41337	205179	1587545970	(레트로 감성) 과거로의 여행 맘은 벌써 90년대	꿀맛
134683	390610	1587545963	고음 불가 노래방 추천곡	그런일은
134683	316497	1587545964	고음 불가 노래방 추천곡	어제처럼
134683	89068	1587545965	고음 불가 노래방 추천곡	눈물
134683	420005	1587545966	고음 불가 노래방 추천곡	멍
134683	337091	1587545968	고음 불가 노래방 추천곡	마지막 사랑
134683	83623	1587545971	고음 불가 노래방 추천곡	시간이 흐른 뒤 (As Time Goes By)
134683	402779	1587545972	고음 불가 노래방 추천곡	사랑은 언제나 목마르다
134683	1236	1587545973	고음 불가 노래방 추천곡	체념
134683	518484	1587545974	고음 불가 노래방 추천곡	꿈에
134683	442352	1587545975	고음 불가 노래방 추천곡	내 안의 그대
134683	133184	1587545977	고음 불가 노래방 추천곡	휠릴리
134683	585216	1587545981	고음 불가 노래방 추천곡	꽃피는 봄이오면
134683	400017	1587545982	고음 불가 노래방 추천곡	汝歌 (여가)
134683	319820	1587545983	고음 불가 노래방 추천곡	인연
134683	457500	1587545984	고음 불가 노래방 추천곡	눈물이 안났어
134683	44220	1587545988	고음 불가 노래방 추천곡	Tears
134683	500248	1587545989	고음 불가 노래방 추천곡	연
134683	497066	1587545990	고음 불가 노래방 추천곡	기다리다
134683	669701	1587545991	고음 불가 노래방 추천곡	별
134683	425043	1587545992	고음 불가 노래방 추천곡	이럴거면
134683	422945	1587545994	고음 불가 노래방 추천곡	비밀번호 486
134683	74403	1587545996	고음 불가 노래방 추천곡	Tell me
134683	645489	1587545997	고음 불가 노래방 추천곡	만약에
134683	701323	1587545998	고음 불가 노래방 추천곡	미워도 사랑하니까
134683	150446	1587545999	고음 불가 노래방 추천곡	애인 있어요
134683	425758	1587546000	고음 불가 노래방 추천곡	총맞은것처럼
134683	371829	1587546001	고음 불가 노래방 추천곡	Gee
134683	148992	1587546002	고음 불가 노래방 추천곡	8282
134683	344910	1587546003	고음 불가 노래방 추천곡	헤어지는 중입니다
134683	628459	1587546004	고음 불가 노래방 추천곡	있잖아 (Rock Ver.)
134683	335075	1587546005	고음 불가 노래방 추천곡	사랑의 배터리
134683	321933	1587546006	고음 불가 노래방 추천곡	잊지 말아요
134683	67655	1587546007	고음 불가 노래방 추천곡	술 한잔 해요
134683	626369	1587546009	고음 불가 노래방 추천곡	미워요
134683	29842	1587546012	고음 불가 노래방 추천곡	Bad Girl Good Girl
134683	492678	1587546015	고음 불가 노래방 추천곡	시간을 거슬러
134683	444706	1587546016	고음 불가 노래방 추천곡	혼자라고 생각말기
134683	196697	1587546017	고음 불가 노래방 추천곡	지우개
134683	483630	1587546019	고음 불가 노래방 추천곡	아모르 파티
134683	406831	1587546020	고음 불가 노래방 추천곡	까탈레나 (Catallena)
